"","Sighted","Reported","Location","Shape","Duration"
"41043",20061214,20061218,"Dunn, NC","triangle","10 minutes"
"42314",20070427,20070428,"Knin (Croatia),","changing","10 min"
"7749",20000409,20000409,"Richmond, IN","circle","30"
"47619",20080306,20080307,"Quaker Hill, CT","disk","6-8mins"
"10142",19580601,20001214,"Timpson, TX","light","1hour 30 min"
"11674",20010521,20010521,"Las Vegas, NV","chevron","3 min"
"46439",20071224,20080106,"Sanikiluaq (Canada), NT","light","30 to 40 seconds"
"28483",19911201,20041022,"Reynosa (Mexico),","formation","like 5 minutes"
"22037",20030924,20030926,"Nashville, TN","triangle","1 min 30 sec."
"37397",19940101,20060418,"Redding, CA","triangle","all night"
"9913",20010111,20010114,"Boulder, CO","fireball","5sec"
"46518",20050426,20080112,"Deer Isle, ME","other","30 - 45 minutes"
"7627",20000315,20000318,"New Philadelphia, OH","light","20 min."
"29154",20041015,20041101,"Grants Pass-Murphy area, OR","unknown","2.5 hours"
"31652",19980315,20050516,"North Pole, AK","sphere","90 sec"
"13724",19100528,20011122,"Solon, ME","unknown","don&apos;t know"
"20083",20030712,20030714,"Fairborn, OH","cigar","2 minutes"
"15622",19991228,20020705,"Elisabeth, CO","light","1-2 mins"
"1648",19971114,19971115,"McMinnville, OR","formation","approx. 10 sec."
"20503",20000613,20030628,"Sincelejo (Colombia),","triangle","10min"
"45060",20071002,20071015,"Avon Park, FL","unknown","15 min"
"48078",20080330,20080330,"UK/England,","light","10 minutes"
"49596",20080713,20080714,"Grants Pass, OR","unknown","1 minute"
"7002",19681203,19991206,"Gasconade, MO","unknown","30 minutes"
"5949",19990925,19990926,"Ewen, MI","fireball","1 sec"
"45471",20071028,20071114,"Leicester, NC","disk","digial photo"
"20778",20030821,20030821,"Bellingham, WA","egg","5 minutes"
"21367",20030925,20030925,"Pensacola, FL","fireball","10-15 seconds"
"31815",20050321,20050321,"Castro Valley, CA","egg","2 Minutes"
"37447",19911031,20060519,"Willow Grove, PA","other","5 sec"
"2952",19970615,19980918,"Irvine, CA","changing","10 seconds"
"54734",19761012,20090604,"Emporia, KS","disk","5 minutes"
"51138",20081010,20081020,"South Bend, IN","light","10 minutes"
"32217",20050616,20050620,"Betetourt County, VA","light","2 seconds"
"29104",20041126,20041126,"UK/England,","oval","7 minutes"
"17288",19890615,20021018,"Rancho, CA","unknown","4 hours"
"9040",20000727,20000728,"Chandler, AZ","oval","15 minutes"
"54718",20090630,20090630,"Valley Center, CA","oval","45 seconds"
"49665",20080704,20080720,"Elmwood Park, IL","triangle","1 hour"
"54099",20090502,20090503,"Grand Rapids, MI","unknown","30-40 minutes"
"21696",19810615,20030926,"Point Barrow, AK","cylinder","less than 5 min."
"16717",20020730,20020730,"Johannesburg (South Africa),","diamond","10min"
"59174",20100617,20100619,"Orangeville (Ontario) (Canada), ON","light","one hour"
"14333",20020114,20020115,"Portland, OR","triangle","2 minutes"
"50844",20080809,20080809,"Dawson Springs, KY","circle","7.5 minutes"
"2735",19970715,19981012,"Las Cruces, NM","fireball","45--60 min"
"5941",19990829,19990830,"Temple City, CA","light","15 minutes"
"12700",20010713,20010713,"Eagle, ID","circle","7:59"
"49681",20080705,20080707,"Columbus, WI","light","5 minutes"
"13010",20011019,20011019,"Buckley, WA","triangle","25 seconds"
"43160",20070625,20070625,"Bradenton, FL","light","10-20 seconds"
"27495",20040822,20040822,"Falls City, NE","triangle","30-45 sec"
"10486",20001220,20001221,"Concord, CA","fireball","1 sec"
"40522",20061228,20070103,"Petaluma, CA","diamond","10 minutes &gt;"
"11787",20010522,20010522,"Nis (Yugoslavia),","other","20 mimuta"
"26968",19630601,20040605,"Waukegan, IL","formation","15 minuts"
"30861",20050308,20050309,"Seattle, WA","light","3-4 sec"
"53925",20090427,20090428,"Easley, SC","light","2 hours"
"10076",20010111,20010111,"Castle Rock, CO","fireball","3-4 seconds"
"57895",20070808,20091126,"Jadranovo (Croatia),","cigar","3s"
"42864",20070502,20070502,"New York City (Manhattan), NY","triangle","2 hours"
"13956",20011118,20011119,"Dickinson, TX","changing","50 minutes"
"55887",20090718,20090719,"Honolulu, HI","other","about 10 minutes"
"51971",20081209,20081209,"Kensington/Olney, MD","light","10 minutes so far"
"51179",20081029,20081030,"Salisbury, NH","triangle","3 Minutes"
"31056",20050224,20050306,"Coal Hill, AR","light","30 minutes"
"30452",19740710,20050305,"Marion, OH","sphere","3-5 minutes"
"20684",20030718,20030718,"Brightwaters, NY","disk","2 secs"
"26427",20020915,20040626,"Lake Pleasent State Park, AZ","light","About an Hour"
"55559",20090823,20090824,"Santa Rosa, CA","fireball","15"
"31963",19910215,20050625,"Munich (Germany),","formation","2 minutes"
"13619",20010817,20010817,"Fulton, MO","cigar","2 minutes"
"30525",19851215,20050225,"Auburn, AL","unknown","5 min. +"
"48218",20080430,20080502,"Powell, OH","unknown","3minutes"
"15954",20020625,20020626,"Aberdeen, WA","circle","15seconds"
"36398",20060211,20060212,"Bozeman, MT","fireball","15 sec"
"50686",20080831,20080830,"Hightstown, NJ","teardrop","1 minute"
"4628",19970715,19990516,"Jefferson Estates, PA","light","1 hour"
"5329",19990617,19990617,"Boulder, CO","light","5 seconds"
"50257",20080814,20080814,"Addison, PA","disk","10 seconds"
"5977",19940824,19991006,"Belfast, ME","triangle","20 min."
"48297",20050704,20080615,"Columbia, MO","light","7 minutes"
"9962",20001220,20001220,"Kingston (North of) (Canada), ON","circle","2-4 seconds"
